[0.00s -> 2.30s]  three, two, four.
[3979.44s -> 3981.44s]  I can tell you that we have some of the best teachers
[3981.44s -> 3983.44s]  and administrators.
[3983.44s -> 3990.44s]  And I would love to see the education budget stay as is.
[3990.44s -> 3991.44s]  Okay.
[3991.44s -> 3992.44s]  Thank you.
[3992.44s -> 3994.44s]  Thank you.
[3995.44s -> 4000.44s]  And then next, we have Irene Drake.
[4000.44s -> 4001.44s]  Hi.
[4001.44s -> 4002.44s]  Good evening, everybody.
[4002.44s -> 4003.44s]  I want to thank the Board of Finance
[4003.44s -> 4005.44s]  for the opportunity to speak virtually tonight.
[4005.44s -> 4006.44s]  Irene.
[4006.44s -> 4007.44s]  Yes.
[4007.44s -> 4008.44s]  I'm sorry.
[4008.44s -> 4009.44s]  Your address.
[4009.44s -> 4010.44s]  Oh, I'm sorry.
[4010.44s -> 4012.44s]  My address is five pleasant rise.
[4012.44s -> 4013.44s]  Okay.
[4013.44s -> 4014.44s]  Thank you.
[4014.44s -> 4015.44s]  No problem.
[4015.44s -> 4017.44s]  So, I am a third grade teacher at Rockwell.
[4017.44s -> 4019.44s]  But I am speaking to my as a parents.
[4019.44s -> 4022.44s]  My daughter is currently a fourth grade student at Johnson School
[4022.44s -> 4025.44s]  and which is the BAS register.
[4025.44s -> 4027.44s]  I have an extremely large class size.
[4027.44s -> 4030.44s]  And research has shown that smaller class sizes is optimal
[4030.44s -> 4033.44s]  for the high quality student learning, both academic
[4033.44s -> 4034.44s]  and social emotional.
[4034.44s -> 4037.44s]  That Bethel is used to in our children deserve.
[4037.44s -> 4041.44s]  this cannot happen with any cuts to this budget.
[4041.44s -> 4044.44s]  The budget that was currently set when I went to the
[4044.44s -> 4048.44s]  Board of Finance meeting way back before COVID-19.
[4048.44s -> 4050.44s]  We might be able to do things then.
[4050.44s -> 4051.44s]  We cannot do it with further cut.
[4051.44s -> 4055.14s]  I urge you to think as elected officials,
[4056.18s -> 4057.46s]  not on the short term,
[4057.46s -> 4060.18s]  but about the long term negative effects cuts would have
[4060.18s -> 4062.38s]  on our current educational system,
[4062.38s -> 4065.10s]  especially given our current situation.
[4065.10s -> 4067.50s]  I sympathize with COVID-19 situations.
[4067.50s -> 4070.06s]  I have friends and family who have suffered,
[4070.06s -> 4072.34s]  so I am not without knowledge of that.
[4072.34s -> 4074.78s]  However, we know that our students will be returning
[4074.78s -> 4079.26s]  to school whenever the governor tells us we can come back,
[4079.26s -> 4081.52s]  we'll have significant gaps in their learning.
[4081.52s -> 4083.32s]  Distance learning does not replace the teacher,
[4083.32s -> 4085.44s]  does not replace the classroom.
[4085.44s -> 4088.60s]  These students that didn't normally require remediation
[4088.60s -> 4091.44s]  will now require remediation that we've never had
[4091.44s -> 4092.32s]  to do before.
[4093.32s -> 4096.28s]  So I just urge you to really keep the budget as is,
[4096.28s -> 4097.28s]  and send it forward.
[4097.28s -> 4099.96s]  And again, thank you for the opportunity.
[4099.96s -> 4100.80s]  Thank you.
[4102.92s -> 4105.28s]  Okay, next we have Jen Ackerman.
[4106.28s -> 4111.28s]  Jen Ackerman for Walnut Hill Road.
[4113.28s -> 4114.28s]  Thank you.
[4114.28s -> 4118.28s]  If my Wi-Fi is wonky, I need to know right away.
[4118.28s -> 4120.28s]  Just give me the high sign, I'll dart out.
[4120.28s -> 4121.28s]  Okay.
[4123.28s -> 4128.28s]  I really am concerned about maintaining all the proposed
[4128.28s -> 4131.28s]  positions that we have in the budget,
[4131.28s -> 4134.28s]  because really our needs have not changed.
[4134.28s -> 4138.28s]  I understand we are in a health crisis right now.
[4138.28s -> 4140.28s]  Many homes have been impacted financially.
[4140.28s -> 4142.28s]  Mine has as well.
[4142.28s -> 4146.28s]  But the school needs and our changing demographics
[4146.28s -> 4148.28s]  have not changed.
[4152.28s -> 4154.28s]  Oh, you cut out Jen.
[4161.28s -> 4162.28s]  Jen, you cut out.
[4165.28s -> 4166.28s]  We are...
[4168.28s -> 4170.28s]  Can you hear me?
[4170.28s -> 4171.28s]  You're back.
[4171.28s -> 4173.28s]  You're back.
[4173.28s -> 4175.28s]  Sorry, that would figure.
[4175.28s -> 4176.28s]  There you go.
[4176.28s -> 4177.28s]  There you go.
[4177.28s -> 4179.28s]  Hi, sorry.
[4179.28s -> 4183.28s]  Just basically re-prioritizing our artist resources
[4183.28s -> 4188.28s]  will not support our already overstretched teaching staff.
[4188.28s -> 4192.28s]  I think we have a moral and educational obligation to adjust to our new rapidly
[4192.28s -> 4194.28s]  changing demographics.
[4194.28s -> 4198.28s]  Or, you know, all students will be negatively impacted.
[4198.28s -> 4200.28s]  It's not really a choice.
[4200.28s -> 4205.28s]  We've started out with a negative teaching balance.
[4205.28s -> 4215.28s]  There we have a lot of on staff positions that we really need to get back
[4215.28s -> 4217.28s]  up and running.
[4217.28s -> 4219.28s]  We've been waiting.
[4220.28s -> 4225.28s]  Also, I just like to say like our goals to highly educate our children
[4225.28s -> 4228.28s]  and keep our community services running.
[4228.28s -> 4231.28s]  We are already squeezed.
[4231.28s -> 4233.28s]  And I just basically ask.
[4241.28s -> 4244.28s]  Can we've lost you again?
[4245.28s -> 4248.28s]  Oh, we just lost her.
[4248.28s -> 4250.28s]  She muted herself.
[4250.28s -> 4256.28s]  Deanna, how are you going to record Jen's ask?
[4256.28s -> 4257.28s]  I think...
[4257.28s -> 4265.28s]  Well, I have that she asked to maintain the budget and that the school needs have not changed.
[4265.28s -> 4272.28s]  All right.
[4272.28s -> 4278.28s]  Okay.
[4278.28s -> 4281.28s]  Next we have Nick.
[4281.28s -> 4284.28s]  I don't have a last name for Nick.
[4284.28s -> 4286.28s]  Hey, Nick.
[4286.28s -> 4289.28s]  Nick Hoffman, 163 plum trees road.
[4289.28s -> 4293.28s]  And I am speaking as a town busybody, not in my capacity as a board of
[4293.28s -> 4299.28s]  that member, charter, revision commission member.
[4299.28s -> 4303.28s]  And I support the budget as stated.
[4303.28s -> 4311.28s]  I think we risk a lot in terms of the future of our community by overreacting in this moment.
[4311.28s -> 4316.28s]  I think throughout the budget deliberation process, I've heard the term,
[4316.28s -> 4318.28s]  new share responsibility come up.
[4318.28s -> 4320.28s]  And now it's really to test that.
[4320.28s -> 4327.28s]  You know, unfortunately, as we presently sit, seven people bear the weight of the future of our community.
[4327.28s -> 4334.28s]  And I think fiduciary responsibility is at the core of what should be your decision making process.
[4334.28s -> 4339.28s]  fiduciary responsibility is outlined by a simple measure.
[4339.28s -> 4342.28s]  And the measure is the reasonable person standard.
[4342.28s -> 4346.28s]  And it's based on three duties, the duty of loyalty.
[4346.28s -> 4350.28s]  Which essentially means members put the interest of the town above their own.
[4350.28s -> 4354.28s]  That they're not there as advocates or members of a political party.
[4354.28s -> 4358.28s]  The DTA or breakfast or lunch club.
[4358.28s -> 4362.28s]  They're there to best serve the collective whole.
[4362.28s -> 4367.28s]  The duty of care that members come as informed advocates for the town.
[4367.28s -> 4371.28s]  They understand our finances. They understand the different components.
[4371.28s -> 4375.28s]  We can leverage to the benefit of our community at this moment.
[4375.28s -> 4378.28s]  And obedience.
[4378.28s -> 4383.28s]  The members are obedient to the collective needs of our community.
[4383.28s -> 4386.28s]  And ultimately that's what this is about.
[4386.28s -> 4392.28s]  You know, every other government entity is looking at how do we stem off this.
[4392.28s -> 4398.28s]  This epidemic, this, this crisis that we're facing that we've never been tested.
[4398.28s -> 4404.28s]  Since this has happened, there's a quote Benjamin Franklin spoke that's just been resonating my air.
[4404.28s -> 4407.28s]  And it's failure to prepare is preparing to fail.
[4407.28s -> 4412.28s]  And I feel by cutting this budget is preparing to fail.
[4412.28s -> 4415.28s]  We have two schools on the construction.
[4415.28s -> 4418.28s]  That are going to be opened up this fall.
[4418.28s -> 4423.28s]  So we're going to cut our budget to our schools and potentially lay off teachers.
[4423.28s -> 4428.28s]  How will our bonding rating agencies look at the leadership of our town.
[4428.28s -> 4433.28s]  That we're going to open up to brand new schools with the rising student population.
[4433.28s -> 4437.28s]  And cut our teaching staff.
[4437.28s -> 4440.28s]  Our bond rating be cut.
[4440.28s -> 4446.28s]  The rate where we should be getting the best rates we possibly can get rise.
[4446.28s -> 4448.28s]  For neglect.
[4448.28s -> 4453.28s]  Similarly, if we look at our staffing for our police department.
[4453.28s -> 4462.28s]  We're understaffed by the ratios established by the FBI and by the communities within our state that are similar to us.
[4462.28s -> 4469.28s]  Last year, the state of Connecticut passed the bill for post-traumatic stress for first responders.
[4470.28s -> 4476.28s]  It's not news that the Bethel police department has been dealing with a lot over the last 12 months.
[4476.28s -> 4480.28s]  And to be honest, the five years previous to that.
[4480.28s -> 4482.28s]  Trauma doesn't leave a body.
[4482.28s -> 4488.28s]  It stays there until it's triggered again and makes somebody incapable of doing the responsibilities.
[4488.28s -> 4491.28s]  So knowing that and knowing what our police officers been through,
[4491.28s -> 4496.28s]  we're not even giving them the protection to ask for the help they need.
[4496.28s -> 4498.28s]  That's negligence.
[4498.28s -> 4502.28s]  It's negligence.
[4502.28s -> 4507.28s]  So as we move forward, I too think this should be vetted in the traditional way.
[4507.28s -> 4512.28s]  I think we should wait until we can put this the ballot vote.
[4512.28s -> 4522.28s]  I think we need to protect the budget as is and protect the momentum that Bethel has created over the last 15 years.
[4522.28s -> 4527.28s]  And that's a very much different community.
[4527.28s -> 4533.28s]  One of the trends we've been seeing within the schools as well as an in migration from westchester county.
[4533.28s -> 4547.28s]  You think the people that are sitting in their town homes that are going on six or seven weeks of quarantine are going to be looking for a nice rural community in Connecticut to move to.
[4547.28s -> 4552.88s]  we collapse our real estate budget. Seventy to seventy and a half percent of our grandlist is
[4553.68s -> 4560.96s]  real estate, individual homeowners. And I get the suffering. I've been unemployed since last
[4560.96s -> 4565.84s]  August. This is something my family's been dealing with for over a half of a year now.
[4568.56s -> 4572.56s]  Two years ago we invested in a brand new house because we love this town. It's where my wife grew
[4573.20s -> 4582.32s]  grew up, grew a mile before her. An increased our tax significantly. We got hit by the salt
[4582.88s -> 4585.44s]  but it doesn't matter. This is our community. We're invested here.
[4587.20s -> 4592.32s]  And we need to circle our wagons and we need to vote as individuals and we need to support our
[4592.32s -> 4601.76s]  community. That's what I have to share. Thanks. Thanks, Nick. And beyond just the moment for the
[4601.76s -> 4608.72s]  next speaker, Nick mentioned something that I think was talked about by two earlier speakers
[4608.72s -> 4616.32s]  and that is the the the waiting beyond the May 15 deadline that this board has been
[4616.32s -> 4623.28s]  been given. I believe that is a valid question. I would just ask people to pursue that with the
[4623.28s -> 4629.20s]  board of selectmen, but that's not the board of finances jurisdiction. We kind of have been given
[4629.20s -> 4636.24s]  a charge to do something by a certain date. We can't argue whether or not that date is appropriate.
[4636.24s -> 4642.56s]  We kind of have to be the the line soldier and get it done. So I would just encourage folks if
[4642.56s -> 4648.80s]  they have a genuine concern and I understand that genuine concern. I don't think anybody
[4649.52s -> 4656.08s]  on this board of finance is taking lightly the added responsibility here. So it is a very
